Cultivar,Quantidade (Kg),ano,subopcao,Categoria
Alicante Bouschet,0.0,1970,Viníferas,TINTAS
Ancelota,0.0,1970,Viníferas,TINTAS
Aramon,0.0,1970,Viníferas,TINTAS
Alfrocheiro,0.0,1970,Viníferas,TINTAS
Arinarnoa,0.0,1970,Viníferas,TINTAS
Aspirant Bouschet,0.0,1970,Viníferas,TINTAS
Barbera,4548313.0,1970,Viníferas,TINTAS
Bonarda,1631610.0,1970,Viníferas,TINTAS
Cabernet Franc,238837.0,1970,Viníferas,TINTAS
Cabernet Sauvignon,0.0,1970,Viníferas,TINTAS
Caladoc,0.0,1970,Viníferas,TINTAS
Campanario,0.0,1970,Viníferas,TINTAS
Canaiolo,596766.0,1970,Viníferas,TINTAS
Carignan,0.0,1970,Viníferas,TINTAS
Carmenere,1235.0,1970,Viníferas,TINTAS
Castelão,0.0,1970,Viníferas,TINTAS
Corvina,0.0,1970,Viníferas,TINTAS
Croatina,0.0,1970,Viníferas,TINTAS
Cinsaut,0.0,1970,Viníferas,TINTAS
Dom Felder,0.0,1970,Viníferas,TINTAS
Dolcetto,0.0,1970,Viníferas,TINTAS
Durif,0.0,1970,Viníferas,TINTAS
Egiodola,0.0,1970,Viníferas,TINTAS
Ekigaina,0.0,1970,Viníferas,TINTAS
Festival (Sugraone),0.0,1970,Viníferas,TINTAS
Franconia,0.0,1970,Viníferas,TINTAS
Freisa,1661.0,1970,Viníferas,TINTAS
Gamay St Romain,0.0,1970,Viníferas,TINTAS
Gamay Beaujolais,0.0,1970,Viníferas,TINTAS
Grand Noir,0.0,1970,Viníferas,TINTAS
Grenache,19753.0,1970,Viníferas,TINTAS
Jaen,0.0,1970,Viníferas,TINTAS
Lagrein,0.0,1970,Viníferas,TINTAS
Lambrusco,2259.0,1970,Viníferas,TINTAS
Malbec,4097.0,1970,Viníferas,TINTAS
Marzemina,62546.0,1970,Viníferas,TINTAS
Merlot,185596.0,1970,Viníferas,TINTAS
Marselan,0.0,1970,Viníferas,TINTAS
Mistura de uvas viníferas tinto,0.0,1970,Viníferas,TINTAS
Molinera,0.0,1970,Viníferas,TINTAS
Montepulciano,0.0,1970,Viníferas,TINTAS
Moscato Bailey,0.0,1970,Viníferas,TINTAS
Napa Gamay,0.0,1970,Viníferas,TINTAS
Nebbiolo,0.0,1970,Viníferas,TINTAS
Petit Verdot,0.0,1970,Viníferas,TINTAS
Petite Sirah,0.0,1970,Viníferas,TINTAS
Pinotage,0.0,1970,Viníferas,TINTAS
Pinot Noir,0.0,1970,Viníferas,TINTAS
Pinot Saint George,0.0,1970,Viníferas,TINTAS
Piriquita,0.0,1970,Viníferas,TINTAS
Primitivo,0.0,1970,Viníferas,TINTAS
Rebo,0.0,1970,Viníferas,TINTAS
Refosco,0.0,1970,Viníferas,TINTAS
Rondinella,0.0,1970,Viníferas,TINTAS
Ruby Cabernet,0.0,1970,Viníferas,TINTAS
Sangiovese,27566.0,1970,Viníferas,TINTAS
Saperavi,0.0,1970,Viníferas,TINTAS
Sira (falsa),3127989.0,1970,Viníferas,TINTAS
Tannat,0.0,1970,Viníferas,TINTAS
Tempranillo,0.0,1970,Viníferas,TINTAS
Teroldego,0.0,1970,Viníferas,TINTAS
Torrontes,0.0,1970,Viníferas,TINTAS
Tinta Barroca,0.0,1970,Viníferas,TINTAS
Tinta Roriz,0.0,1970,Viníferas,TINTAS
Touriga Francesa,0.0,1970,Viníferas,TINTAS
Touriga Nacional,0.0,1970,Viníferas,TINTAS
Tinta Madeira,0.0,1970,Viníferas,TINTAS
Tintoria,0.0,1970,Viníferas,TINTAS
Trincdeira,0.0,1970,Viníferas,TINTAS
Trousseau,0.0,1970,Viníferas,TINTAS
Zinfandel,0.0,1970,Viníferas,TINTAS
Outras1,0.0,1970,Viníferas,TINTAS
Aliatico,0.0,1970,Viníferas,BRANCAS E ROSADAS
Aligote,530.0,1970,Viníferas,BRANCAS E ROSADAS
Altesse,0.0,1970,Viníferas,BRANCAS E ROSADAS
Alvarinho,0.0,1970,Viníferas,BRANCAS E ROSADAS
Arriloba,0.0,1970,Viníferas,BRANCAS E ROSADAS
Auxerrois,0.0,1970,Viníferas,BRANCAS E ROSADAS
Burger,0.0,1970,Viníferas,BRANCAS E ROSADAS
Chardonnay,0.0,1970,Viníferas,BRANCAS E ROSADAS
Chasselas,0.0,1970,Viníferas,BRANCAS E ROSADAS
Chenin Blanc,0.0,1970,Viníferas,BRANCAS E ROSADAS
